Class,PlantDoc Test Support,Measurable on PlantDoc
Apple___Apple_scab,110,Yes
Apple___Black_rot,0,No (train only)
Apple___Cedar_apple_rust,110,Yes
Apple___healthy,9,Yes
Blueberry___healthy,121,Yes
Cherry_(including_sour)___Powdery_mildew,0,No (train only)
Cherry_(including_sour)___healthy,10,Yes
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,44,Yes
Corn_(maize)___Common_rust_,10,Yes
Corn_(maize)___Northern_Leaf_Blight,12,Yes
Corn_(maize)___healthy,0,No (train only)
Grape___Black_rot,8,Yes
Grape___Esca_(Black_Measles),0,No (train only)
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0,No (train only)
Grape___healthy,12,Yes
Orange___Haunglongbing_(Citrus_greening),0,No (train only)
Peach___Bacterial_spot,0,No (train only)
Peach___healthy,9,Yes
"Pepper,_bell___Bacterial_spot",9,Yes
"Pepper,_bell___healthy",8,Yes
Potato___Early_blight,88,Yes
Potato___Late_blight,88,Yes
Potato___healthy,0,No (train only)
Raspberry___healthy,7,Yes
Soybean___healthy,8,Yes
Squash___Powdery_mildew,6,Yes
Strawberry___Leaf_scorch,0,No (train only)
Strawberry___healthy,8,Yes
Tomato___Bacterial_spot,99,Yes
Tomato___Early_blight,99,Yes
Tomato___Late_blight,110,Yes
Tomato___Leaf_Mold,66,Yes
Tomato___Septoria_leaf_spot,121,Yes
Tomato___Spider_mites Two-spotted_spider_mite,0,No (train only)
Tomato___Target_Spot,0,No (train only)
Tomato___Tomato_Yellow_Leaf_Curl_Virus,6,Yes
Tomato___Tomato_mosaic_virus,110,Yes
Tomato___healthy,8,Yes
