Class,PlantDoc Support,B F1
Apple___Apple_scab,110,0.698
Apple___Black_rot,0,0.0
Apple___Cedar_apple_rust,110,0.66
Apple___healthy,9,0.632
Blueberry___healthy,121,0.691
Cherry_(including_sour)___Powdery_mildew,0,0.0
Cherry_(including_sour)___healthy,10,0.308
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,44,0.0
Corn_(maize)___Common_rust_,10,0.9
Corn_(maize)___Northern_Leaf_Blight,12,0.164
Corn_(maize)___healthy,0,0.0
Grape___Black_rot,8,0.333
Grape___Esca_(Black_Measles),0,0.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0,0.0
Grape___healthy,12,0.87
Orange___Haunglongbing_(Citrus_greening),0,0.0
Peach___Bacterial_spot,0,0.0
Peach___healthy,9,0.7
"Pepper,_bell___Bacterial_spot",9,0.2
"Pepper,_bell___healthy",8,0.933
Potato___Early_blight,88,0.471
Potato___Late_blight,88,0.476
Potato___healthy,0,0.0
Raspberry___healthy,7,0.714
Soybean___healthy,8,0.103
Squash___Powdery_mildew,6,0.909
Strawberry___Leaf_scorch,0,0.0
Strawberry___healthy,8,0.941
Tomato___Bacterial_spot,99,0.154
Tomato___Early_blight,99,0.553
Tomato___Late_blight,110,0.589
Tomato___Leaf_Mold,66,0.396
Tomato___Septoria_leaf_spot,121,0.712
Tomato___Spider_mites Two-spotted_spider_mite,0,0.0
Tomato___Target_Spot,0,0.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,6,0.25
Tomato___Tomato_mosaic_virus,110,0.462
Tomato___healthy,8,0.235
