Class,Field images,PlantDoc test support
Apple___Apple_scab,1125,10
Apple___Black_rot,0,0
Apple___Cedar_apple_rust,65,10
Apple___healthy,70,9
Blueberry___healthy,88,11
Cherry_(including_sour)___Powdery_mildew,0,0
Cherry_(including_sour)___healthy,540,10
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,581,4
Corn_(maize)___Common_rust_,90,10
Corn_(maize)___Northern_Leaf_Blight,160,12
Corn_(maize)___healthy,568,0
Grape___Black_rot,44,8
Grape___Esca_(Black_Measles),0,0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0,0
Grape___healthy,1533,12
Orange___Haunglongbing_(Citrus_greening),0,0
Peach___Bacterial_spot,0,0
Peach___healthy,80,9
"Pepper,_bell___Bacterial_spot",47,9
"Pepper,_bell___healthy",45,8
Potato___Early_blight,83,8
Potato___Late_blight,76,8
Potato___healthy,0,0
Raspberry___healthy,101,7
Soybean___healthy,52,8
Squash___Powdery_mildew,111,6
Strawberry___Leaf_scorch,0,0
Strawberry___healthy,66,8
Tomato___Bacterial_spot,1390,9
Tomato___Early_blight,1568,9
Tomato___Late_blight,1189,10
Tomato___Leaf_Mold,1573,6
Tomato___Septoria_leaf_spot,1373,11
Tomato___Spider_mites Two-spotted_spider_mite,510,0
Tomato___Target_Spot,0,0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1535,6
Tomato___Tomato_mosaic_virus,33,10
Tomato___healthy,1523,8
