folder,key,mapped_to,how
Apple Brown_spot,apple brown spot,Apple___Apple_scab,tokens(2)
Apple Normal,apple healthy,,ambiguous
Apple black_spot,apple black spot,,ambiguous
Apricot Normal,apricot healthy,,UNMAPPED
Apricot blight leaf disease,apricot blight,,UNMAPPED
Apricot shot_hole,apricot shot hole,,UNMAPPED
Bean Fungal_leaf disease,bean fungal,,UNMAPPED
Bean Normal leaf,bean healthy,,UNMAPPED
Bean bean rust image,bean bean rust,,UNMAPPED
Bean shot_hole,bean shot hole,,UNMAPPED
Cherry Leaf Scorch,cherry scorch,,UNMAPPED
Cherry Normal leaf,cherry healthy,Cherry_(including_sour)___healthy,tokens(2)
Cherry brown_spot,cherry brown spot,,UNMAPPED
Cherry purple leaf spot,cherry purple spot,,UNMAPPED
Cherry_shot hole disease,cherry shot hole,,UNMAPPED
Corn Fungal leaf,corn fungal,,UNMAPPED
Corn Normal leaf,corn healthy,Corn_(maize)___healthy,tokens(2)
Corn gray leaf spot,corn gray spot,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,tokens(3)
Corn holcus_ leaf spot,corn holcus spot,,UNMAPPED
Fig Blight_leaf disease,fig blight,,UNMAPPED
Fig Brown spot,fig brown spot,,UNMAPPED
Fig normal leaf,fig healthy,,UNMAPPED
Fig_rust leaf,fig rust,,UNMAPPED
Grape Anthracnose leaf,grape anthracnose,,UNMAPPED
Grape Brown spot leaf,grape brown spot,,UNMAPPED
Grape Downy mildew leaf,grape downy mildew,,UNMAPPED
Grape Mites_leaf disease,grape mites,,UNMAPPED
Grape Normal_leaf,grape healthy,Grape___healthy,tokens(2)
Grape Powdery_mildew leaf,grape powdery mildew,,UNMAPPED
Grape shot hole leaf disease,grape shot hole,,UNMAPPED
Lokat Normal leaf,lokat healthy,,UNMAPPED
Pear Black spot _ leaf disease,pear black spot,,UNMAPPED
Pear Normal _leaf,pear healthy,,UNMAPPED
Pear fire blight,pear fire blight,,UNMAPPED
Walnut Anthracnose_leaf disease,walnut anthracnose,,UNMAPPED
Walnut Blotch_leaf disease,walnut blotch,,UNMAPPED
Walnut Normal_leaf,walnut healthy,,UNMAPPED
Walnut Shot_hole,walnut shot hole,,UNMAPPED
Walnut leaf gall mite,walnut gall mite,,UNMAPPED
lokat Leaf_spot,lokat spot,,UNMAPPED
persimmons Brown_spot,persimmons brown spot,,UNMAPPED
tomato Fusarium Wilt,tomato fusarium wilt,,UNMAPPED
tomato spider mites,tomato spider mites,Tomato___Spider_mites Two-spotted_spider_mite,alias
tomato verticillium wilt,tomato verticillium wilt,,UNMAPPED
tomato_bacterial_spot,tomato bacterial spot,Tomato___Bacterial_spot,tokens(3)
tomato_early_blight,tomato early blight,Tomato___Early_blight,tokens(3)
tomato_healthy_leaf,tomato healthy,Tomato___healthy,tokens(2)
tomato_late_blight,tomato late blight,Tomato___Late_blight,tokens(3)
tomato_leaf_curl,tomato curl,Tomato___Tomato_Yellow_Leaf_Curl_Virus,tokens(3)
tomato_leaf_miner,tomato miner,,UNMAPPED
tomato_leaf_mold,tomato mold,Tomato___Leaf_Mold,tokens(2)
tomato_septoria_leaf,tomato septoria,Tomato___Septoria_leaf_spot,tokens(2)
