folder,key,mapped_to,how
Apple Scab Leaf,apple scab,Apple___Apple_scab,alias
Apple leaf,apple,Apple___healthy,alias
Apple rust leaf,apple rust,Apple___Cedar_apple_rust,alias
Bell_pepper leaf,bell pepper,"Pepper,_bell___healthy",alias
Bell_pepper leaf spot,bell pepper spot,"Pepper,_bell___Bacterial_spot",alias
Blueberry leaf,blueberry,Blueberry___healthy,alias
Cherry leaf,cherry,Cherry_(including_sour)___healthy,alias
Corn Gray leaf spot,corn gray spot,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,alias
Corn leaf blight,corn blight,Corn_(maize)___Northern_Leaf_Blight,alias
Corn rust leaf,corn rust,Corn_(maize)___Common_rust_,alias
Peach leaf,peach,Peach___healthy,alias
Potato leaf early blight,potato early blight,Potato___Early_blight,alias
Potato leaf late blight,potato late blight,Potato___Late_blight,alias
Raspberry leaf,raspberry,Raspberry___healthy,alias
Soyabean leaf,soybean,Soybean___healthy,alias
Squash Powdery mildew leaf,squash powdery mildew,Squash___Powdery_mildew,alias
Strawberry leaf,strawberry,Strawberry___healthy,alias
Tomato Early blight leaf,tomato early blight,Tomato___Early_blight,alias
Tomato Septoria leaf spot,tomato septoria spot,Tomato___Septoria_leaf_spot,alias
Tomato leaf,tomato,Tomato___healthy,alias
Tomato leaf bacterial spot,tomato bacterial spot,Tomato___Bacterial_spot,alias
Tomato leaf late blight,tomato late blight,Tomato___Late_blight,alias
Tomato leaf mosaic virus,tomato mosaic virus,Tomato___Tomato_mosaic_virus,alias
Tomato leaf yellow virus,tomato yellow virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus,alias
Tomato mold leaf,tomato mold,Tomato___Leaf_Mold,alias
Tomato two spotted spider mites leaf,tomato two spotted spider mites,Tomato___Spider_mites Two-spotted_spider_mite,alias
grape leaf,grape,Grape___healthy,alias
grape leaf black rot,grape black rot,Grape___Black_rot,alias
