Class,PlantDoc support,Field images,F1
Apple___Apple_scab,10,1125,0.462
Apple___Black_rot,0,0,0.0
Apple___Cedar_apple_rust,10,65,0.818
Apple___healthy,9,70,0.667
Blueberry___healthy,11,88,0.471
Cherry_(including_sour)___Powdery_mildew,0,0,0.0
Cherry_(including_sour)___healthy,10,540,0.571
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,4,581,0.308
Corn_(maize)___Common_rust_,10,90,0.889
Corn_(maize)___Northern_Leaf_Blight,12,160,0.571
Corn_(maize)___healthy,0,568,0.0
Grape___Black_rot,8,44,0.889
Grape___Esca_(Black_Measles),0,0,0.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0,0,0.0
Grape___healthy,12,1533,0.917
Orange___Haunglongbing_(Citrus_greening),0,0,0.0
Peach___Bacterial_spot,0,0,0.0
Peach___healthy,9,80,0.875
"Pepper,_bell___Bacterial_spot",9,47,0.762
"Pepper,_bell___healthy",8,45,0.7
Potato___Early_blight,8,83,0.4
Potato___Late_blight,8,76,0.235
Potato___healthy,0,0,0.0
Raspberry___healthy,7,101,0.875
Soybean___healthy,8,52,0.667
Squash___Powdery_mildew,6,111,0.909
Strawberry___Leaf_scorch,0,0,0.0
Strawberry___healthy,8,66,0.941
Tomato___Bacterial_spot,9,1390,0.111
Tomato___Early_blight,9,1568,0.476
Tomato___Late_blight,10,1189,0.316
Tomato___Leaf_Mold,6,1573,0.375
Tomato___Septoria_leaf_spot,11,1373,0.526
Tomato___Spider_mites Two-spotted_spider_mite,0,510,0.0
Tomato___Target_Spot,0,0,0.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,6,1535,0.667
Tomato___Tomato_mosaic_virus,10,33,0.4
Tomato___healthy,8,1523,0.571
