Class,PlantDoc support,Field images,Precision,Recall,F1
Tomato___Bacterial_spot,9,1074,0.8,0.444,0.571
Tomato___Early_blight,9,341,0.692,1.0,0.818
Tomato___Late_blight,10,1101,0.818,0.9,0.857
Tomato___Leaf_Mold,6,714,0.667,0.667,0.667
Tomato___Septoria_leaf_spot,11,980,0.714,0.909,0.8
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0.0,0.0,0.0
Tomato___Target_Spot,0,0,0.0,0.0,0.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,6,58,0.714,0.833,0.769
Tomato___Tomato_mosaic_virus,10,328,0.857,0.6,0.706
Tomato___healthy,8,1262,0.667,0.5,0.571
