source,path,reason
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato Early blight leaf/Tomato%20early%20blight%20target%20like%20leaf%20spot.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato Early blight leaf/early-blight-or-target-spot-alternaria-solani-lesions-on-a-tomato-BH3TH0.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato Early blight leaf/earlyblightpotato.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato Septoria leaf spot/EPP-7625Fig-5-143x300.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato Septoria leaf spot/PHOTO_1333642732277.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato Septoria leaf spot/Septoria_Leaf_Spot_of_Tomato187.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato Septoria leaf spot/Tom_Sept4.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato Septoria leaf spot/early-blight-septoria-ls-fig-3.jpg,exact
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato Septoria leaf spot/septoria-lycopersici-ascomycota-common-fungal-leaf-disease-of-tomato-picture-id128110611.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato Septoria leaf spot/septorialeafspot2.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato Septoria leaf spot/slide21-n.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato Septoria leaf spot/sls1.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato Septoria leaf spot/tomato-leaf-spot-septoria-lycopersici-leaf-spotting-on-tomato-at9jap.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato Septoria leaf spot/tomato-leaf-spot-septoria-lycopersici-on-a-tomato-leaflet-acg9j5.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato Septoria leaf spot/tomato_V8.jpg,exact
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf/17371378-tomato-leaf.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf/depositphotos_143371585-stock-photo-tomato-leaf-closeup-isolated-on.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf/fpls-08-01602-g001.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf/single-a-green-leaf-of-tomato-picture-id496662675?k=6&m=496662675&s=612x612&w=0&h=6zKfv022H_9cLQSIR_kpcOAlTeg1eIVtLBbc80PQA7Y=.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf/stock-photo-tomato-leaf-isolated-on-white-background-580281301.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf/tomato-leaf-6291945.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf/tomato-leaf-6424287.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf/tomato-leaf.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf bacterial spot/Bacterial+Spot+-+Tomatoes.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf bacterial spot/TC6-300x194.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf bacterial spot/bacterial-canker3x2400-2ia1kgd.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf bacterial spot/bacterial-spot-of-tomato-6-638.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf bacterial spot/latest?cb=20100808132744.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf late blight/600.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf late blight/LateBlight-Leaflet-Large-Spot_9005-ROTATED-sbzntn.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf late blight/TOMATO%20LATE%20BLIGHT%20ON%20LEAF.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf late blight/late-blight-fungicides.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf late blight/late_blight1.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf late blight/late_blight_tomato_leaf5x12001-650x305.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf late blight/tomato-late-blight-foliar-lesions_Scot-Nelson_CC-BY-SA-2.0.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf late blight/tomato-late-blight-phytophthora-infestans-necrosis-sporulation-on-a-tomato-leaf-underside-XA233C.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf late blight/tomato_late-blight_03_zoom.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf mosaic virus/image024.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf yellow virus/Figure-4.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf yellow virus/illustration-thematique-urbino-fig5.plante%20tylcv.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf yellow virus/role-of-whitefly-in-plant-virus-transmission-by-pmanikandan-25-638.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf yellow virus/tomato-yellow-closeup-2.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf yellow virus/tomato-yellow-leaf-curl-virus-pdf-78kb.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf yellow virus/tylcv-seminar-1-638.jpg,exact
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato leaf yellow virus/virus1.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato mold leaf/DSCN2697.jpg,near-duplicate
plantdoc-train vs test,/kaggle/working/plantdoc/train/Tomato mold leaf/Fig.%2016_opt.jpg,near-duplicate
